date,tourism_num
2022-12-20,381
2022-12-19,286
2022-12-18,582
2022-12-17,466
2022-12-16,614
2022-12-15,505
2022-12-14,332
2022-12-13,309
2022-12-12,298
2022-12-11,348
2022-12-10,384
2022-12-09,250
2022-12-08,162
2022-12-07,193
2022-12-06,96
2022-12-05,57
2022-12-04,159
2022-12-03,88
2022-12-02,96
2022-12-01,161
2022-11-30,126
2022-11-29,129
2022-11-28,119
2022-11-27,249
2022-11-26,294
2022-11-25,360
2022-11-24,518
2022-11-23,728
2022-11-22,1675
2022-11-21,1043
2022-11-20,1466
2022-11-19,2576
2022-11-18,1839
2022-11-17,1747
2022-11-14,1524
2022-11-13,1728
2022-11-12,2191
2022-11-11,1464
2022-11-10,2088
2022-11-09,2590
2022-11-08,2176
2022-11-07,2042
2022-11-06,3008
2022-11-05,3905
2022-11-04,1134
2022-08-31,15
2022-08-30,1296
2022-08-29,1797
2022-08-28,2026
2022-08-27,3902
2022-08-26,5790
2022-08-25,2870
2022-08-24,6317
2022-08-23,8266
2022-08-22,9119
2022-08-21,10864
2022-08-20,14086
2022-08-19,15902
2022-08-18,15209
2022-08-17,19132
2022-08-16,18271
2022-08-15,17470
2022-08-14,20366
2022-08-13,18510
2022-08-12,20923
2022-08-11,15778
2022-08-10,20872
2022-08-09,17289
2022-08-08,16363
2022-08-07,20293
2022-08-06,16156
2022-08-05,15690
2022-08-04,13001
2022-08-03,16365
2022-08-02,13008
2022-08-01,11321
2022-07-31,10714
2022-07-30,8980
2022-07-29,9051
2022-07-28,8372
2022-07-27,8616
2022-07-26,7557
2022-07-25,7635
2022-07-24,7385
2022-07-23,8323
2022-07-22,9073
2022-07-21,9285
2022-07-20,13683
2022-07-19,13831
2022-07-18,13108
2022-07-17,14665
2022-07-16,17979
2022-07-15,17592
2022-07-14,15389
2022-07-13,16952
2022-07-12,15774
2022-07-11,17861
2022-07-10,20288
2022-07-09,22435
2022-07-08,19636
2022-07-07,16867
2022-07-06,17076
2022-07-05,13881
2022-07-04,12681
2022-07-03,13504
2022-07-02,12411
2022-07-01,10244
2022-06-30,8081
2022-06-29,7582
2022-06-28,6066
2022-06-27,6629
2022-06-26,5819
2022-06-25,7867
2022-06-24,6228
2022-06-23,4746
2022-06-22,4746
2022-06-21,5475
2022-06-20,4238
2022-06-19,5115
2022-06-18,7398
2022-06-17,5836
2022-06-16,4416
2022-06-15,4096
2022-06-14,3506
2022-06-13,2829
2022-06-12,3031
2022-06-11,1435
2022-06-10,3188
2022-06-09,2599
2022-06-08,2230
2022-06-07,2414
2022-06-06,1962
2022-06-05,1753
2022-06-04,5351
2022-06-03,2562
2022-06-02,1239
2022-06-01,788
2022-05-31,1363
2022-05-30,1059
2022-05-29,1310
2022-05-28,2321
2022-05-27,1595
2022-05-26,1147
2022-05-25,1077
2022-05-24,1015
2022-05-23,1158
2022-05-22,1032
2022-05-21,1612
2022-05-20,1463
2022-05-19,956
2022-05-18,1099
2022-05-17,1078
2022-05-16,849
2022-05-15,645
2022-05-14,2215
2022-05-13,952
2022-05-12,821
2022-05-11,971
2022-05-10,1000
2022-05-09,896
2022-05-08,642
2022-05-07,840
2022-05-06,723
2022-05-05,739
2022-05-04,735
2022-05-03,2627
2022-05-02,7306
2022-05-01,6458
2022-04-30,1123
2022-04-29,1140
2022-04-28,934
2022-04-27,1040
2022-04-26,834
2022-04-25,662
2022-04-24,340
2022-04-23,451
2022-04-22,310
2022-04-21,178
2022-04-20,145
2022-04-19,121
2022-04-18,48
2022-04-17,170
2022-04-16,113
2022-04-15,85
2022-04-14,84
2022-04-13,75
2022-04-12,142
2022-04-11,272
2022-04-10,185
2022-04-09,135
2022-04-08,220
2022-04-07,277
2022-04-06,243
2022-04-05,370
2022-04-04,1766
2022-04-03,1234
2022-04-02,913
2022-04-01,325
2022-03-31,1034
2022-03-30,1577
2022-03-29,1507
2022-03-28,516
2022-03-27,814
2022-03-26,1676
2022-03-25,814
2022-03-24,709
2022-03-23,897
2022-03-22,752
2022-03-21,400
2022-03-20,816
2022-03-19,4892
2022-03-18,929
2022-03-17,811
2022-03-16,946
2022-03-15,637
2022-03-14,388
2022-03-13,724
2022-03-12,540
2022-03-11,326
2022-03-10,300
2022-03-09,476
2022-03-08,1769
2022-03-07,207
2022-03-06,188
2022-03-05,272
2022-03-04,186
2022-03-03,137
2022-03-02,177
2022-03-01,153
2022-02-28,142
2022-02-27,189
2022-02-26,301
2022-02-25,151
2022-02-24,296
2022-02-23,335
2022-02-22,288
2022-02-21,538
2022-02-20,998
2022-02-19,1351
2022-02-18,620
2022-02-17,1027
2022-02-16,690
2022-02-15,1112
2022-02-14,1755
2022-02-13,1861
2022-02-12,1883
2022-02-11,1881
2022-02-10,1933
2022-02-09,1776
2022-02-08,1933
2022-02-07,2077
2022-02-06,2401
2022-02-05,3850
2022-02-04,5270
2022-02-03,5501
2022-02-02,3111
2022-02-01,1099
2022-01-31,511
2022-01-30,589
2022-01-29,777
2022-01-28,704
2022-01-27,644
2022-01-26,746
2022-01-25,573
2022-01-24,707
2022-01-23,775
2022-01-22,1143
2022-01-21,616
2022-01-20,417
2022-01-19,652
2022-01-18,605
2022-01-17,438
2022-01-16,553
2022-01-15,991
2022-01-14,434
2022-01-13,407
2022-01-12,492
2022-01-11,389
2022-01-10,329
2022-01-09,396
2022-01-08,643
2022-01-07,517
2022-01-06,706
2022-01-05,356
2022-01-04,294
2022-01-03,718
2022-01-02,2461
2022-01-01,1206
2021-12-31,529
2021-12-30,479
2021-12-29,741
2021-12-28,643
2021-12-27,622
2021-12-26,661
2021-12-25,1338
2021-12-24,595
2021-12-23,621
2021-12-22,719
2021-12-21,787
2021-12-20,1132
2021-12-19,697
2021-12-18,1153
2021-12-17,597
2021-12-16,756
2021-12-15,615
2021-12-14,629
2021-12-13,647
2021-12-12,863
2021-12-11,962
2021-12-10,717
2021-12-09,757
2021-12-08,734
2021-12-07,631
2021-12-06,619
2021-12-05,581
2021-12-04,892
2021-12-03,575
2021-12-02,487
2021-12-01,387
2021-11-30,321
2021-11-29,274
2021-11-28,380
2021-11-27,364
2021-11-26,339
2021-11-25,294
2021-11-24,183
2021-11-23,287
2021-11-22,72
2021-11-21,65
2021-11-20,80
2021-11-19,59
2021-11-18,54
2021-11-17,52
2021-11-16,30
2021-11-15,31
2021-11-14,40
2021-11-13,34
2021-11-12,35
2021-11-11,44
2021-11-10,38
2021-11-09,44
2021-11-08,71
2021-11-07,105
2021-11-06,119
2021-11-05,342
2021-11-04,522
2021-11-03,2971
2021-11-02,3641
2021-11-01,3172
2021-10-31,3767
2021-10-30,5780
2021-10-29,7522
2021-10-28,6874
2021-10-27,9403
2021-10-26,9139
2021-10-25,9447
2021-10-24,10216
2021-10-23,16000
2021-10-22,15984
2021-10-21,13905
2021-10-20,16710
2021-10-19,15181
2021-10-18,14267
2021-10-17,13927
2021-10-16,15087
2021-10-15,12827
2021-10-14,10728
2021-10-13,14272
2021-10-12,13888
2021-10-11,10186
2021-10-10,7952
2021-10-09,6591
2021-10-08,6905
2021-10-07,6797
2021-10-06,9357
2021-10-05,24651
2021-10-04,39605
2021-10-03,40645
2021-10-02,40461
2021-10-01,9783
2021-09-30,5883
2021-09-29,6104
2021-09-28,7248
2021-09-27,5280
2021-09-26,8587
2021-09-25,9456
2021-09-24,8456
2021-09-23,4821
2021-09-22,3839
2021-09-21,4623
2021-09-20,11378
2021-09-19,6781
2021-09-18,5120
2021-09-17,6280
2021-09-16,5387
2021-09-15,7214
2021-09-14,5521
2021-09-13,5150
2021-09-12,6377
2021-09-11,5754
2021-09-10,5056
2021-09-09,4295
2021-09-08,3728
2021-09-07,3137
2021-09-06,2419
2021-09-05,2393
2021-09-04,2242
2021-09-03,1639
2021-09-02,1648
2021-09-01,1158
2021-08-31,1065
2021-08-30,894
2021-08-29,1269
2021-08-28,1348
2021-08-27,1258
2021-08-26,1357
2021-08-25,1436
2021-08-24,1422
2021-08-23,1570
2021-08-22,1508
2021-08-21,1410
2021-08-20,1440
2021-08-19,1579
2021-08-18,1575
2021-08-17,1814
2021-08-16,1425
2021-08-15,1508
2021-08-14,1214
2021-08-13,971
2021-08-12,753
2021-08-11,824
2021-08-10,797
2021-08-09,800
2021-08-08,739
2021-08-07,1156
2021-08-06,1156
2021-08-05,1112
2021-08-04,1691
2021-08-03,2027
2021-08-02,2819
2021-08-01,4111
2021-07-31,6386
2021-07-30,9602
2021-07-29,16315
2021-07-28,18592
2021-07-27,18379
2021-07-26,18200
2021-07-25,17561
2021-07-24,17786
2021-07-23,19424
2021-07-22,18719
2021-07-21,19782
2021-07-20,19045
2021-07-19,19551
2021-07-18,16233
2021-07-17,14781
2021-07-16,16429
2021-07-15,16296
2021-07-14,20154
2021-07-13,19139
2021-07-12,17647
2021-07-11,17022
