date,temperature_high,temperature_low,weather,wind,air_quality,
2022-12-01 周四,3°,-1°,多云~晴,东南风1级,22 优,
2022-12-02 周五,8°,-1°,多云,西风1级,26 优,
2022-12-03 周六,3°,0°,多云~小雨,东风2级,31 优,
2022-12-04 周日,5°,0°,多云,东风2级,36 优,
2022-12-05 周一,8°,0°,多云,东南风1级,33 优,
2022-12-06 周二,3°,0°,多云,东风1级,37 优,
2022-12-07 周三,8°,1°,多云,东南风1级,40 优,
2022-12-08 周四,7°,0°,多云,东南风1级,41 优,
2022-12-09 周五,10°,2°,多云~阴,东风1级,44 优,
2022-12-10 周六,6°,2°,多云~小雨,东南风2级,41 优,
2022-12-11 周日,5°,0°,多云~小雨,东南风1级,47 优,
2022-12-12 周一,7°,1°,晴~阴,东南风2级,43 优,
2022-12-13 周二,6°,1°,多云~阴,东南风2级,42 优,
2022-12-14 周三,9°,0°,多云~阴,东南风1级,41 优,
2022-12-15 周四,7°,0°,多云~雨夹雪,东风1级,45 优,
2022-12-16 周五,3°,-4°,冻雨~小雪,东北风2级,39 优,
2022-12-17 周六,5°,-4°,晴,西北风1级,25 优,
2022-12-18 周日,8°,-4°,晴,西风1级,31 优,
2022-12-19 周一,4°,-5°,多云,南风1级,37 优,
2022-12-20 周二,8°,-5°,多云~晴,西北风2级,41 优,
2022-11-01 周二,21°,10°,多云~小雨,南风2级,24 优,
2022-11-02 周三,15°,10°,多云~小雨,东南风2级,28 优,
2022-11-03 周四,12°,8°,多云~小雨,东风1级,23 优,
2022-11-04 周五,15°,8°,多云~阴,东南风1级,22 优,
2022-11-05 周六,18°,6°,多云,西南风1级,28 优,
2022-11-06 周日,18°,9°,多云~小雨,南风1级,28 优,
2022-11-07 周一,14°,8°,多云~小雨,东南风1级,28 优,
2022-11-08 周二,21°,10°,多云~阴,西南风1级,33 优,
2022-11-09 周三,21°,10°,多云~阴,西南风1级,33 优,
2022-11-10 周四,21°,11°,多云~小雨,东南风2级,28 优,
2022-11-11 周五,18°,4°,小雨,东南风2级,27 优,
2022-11-12 周六,12°,4°,多云~小雨,东北风2级,15 优,
2022-11-13 周日,12°,3°,多云~小雨,东风1级,16 优,
2022-11-14 周一,17°,5°,多云~阴,东风1级,18 优,
2022-11-15 周二,16°,6°,多云,东南风2级,21 优,
2022-11-16 周三,18°,6°,晴~阴,东北风1级,25 优,
2022-11-17 周四,14°,6°,多云~小雨,东南风1级,33 优,
2022-11-18 周五,13°,6°,多云,东风1级,30 优,
2022-11-19 周六,17°,6°,晴,西南风1级,28 优,
2022-11-20 周日,13°,8°,多云~小雨,东南风2级,33 优,
2022-11-21 周一,15°,6°,多云,东风1级,28 优,
2022-11-22 周二,16°,8°,多云~阴,东南风1级,24 优,
2022-11-23 周三,15°,6°,多云,东南风1级,27 优,
2022-11-24 周四,17°,6°,多云~晴,西南风1级,30 优,
2022-11-25 周五,19°,3°,多云~晴,西风3级,32 优,
2022-11-26 周六,16°,9°,晴,西南风2级,36 优,
2022-11-27 周日,17°,6°,多云,西南风2级,39 优,
2022-11-28 周一,17°,5°,多云~阴,东南风1级,33 优,
2022-11-29 周二,9°,0°,多云~阴,东南风1级,26 优,
2022-11-30 周三,2°,-1°,多云~阴,东风2级,19 优,
2022-10-01 周六,26°,16°,多云~小雨,东南风1级,18 优,
2022-10-02 周日,27°,16°,多云~小雨,东南风2级,20 优,
2022-10-03 周一,20°,13°,多云~小雨,东风1级,19 优,
2022-10-04 周二,21°,12°,小雨,东风1级,11 优,
2022-10-05 周三,17°,12°,多云~小雨,东风1级,8 优,
2022-10-06 周四,14°,10°,小雨,东北风1级,10 优,
2022-10-07 周五,16°,10°,小雨,东南风1级,11 优,
2022-10-08 周六,15°,6°,小雨,东北风1级,12 优,
2022-10-09 周日,13°,9°,多云~阴,东风1级,16 优,
2022-10-10 周一,13°,9°,多云,东南风1级,19 优,
2022-10-11 周二,15°,9°,多云~小雨,东南风2级,20 优,
2022-10-12 周三,14°,10°,多云~小雨,东南风2级,25 优,
2022-10-13 周四,15°,10°,多云~小雨,东风1级,26 优,
2022-10-14 周五,15°,9°,小雨,东风1级,26 优,
2022-10-15 周六,15°,9°,多云~小雨,东北风1级,28 优,
2022-10-16 周日,21°,9°,多云~阴,东风1级,25 优,
2022-10-17 周一,20°,8°,多云~阴,东南风1级,25 优,
2022-10-18 周二,21°,9°,多云~小雨,东南风1级,27 优,
2022-10-19 周三,15°,10°,多云~小雨,东南风2级,33 优,
2022-10-20 周四,22°,11°,多云~小雨,东南风2级,31 优,
2022-10-21 周五,20°,7°,多云~小雨,东风1级,29 优,
2022-10-22 周六,21°,11°,多云~小雨,东风1级,30 优,
2022-10-23 周日,19°,12°,多云~小雨,东风1级,35 优,
2022-10-24 周一,17°,12°,多云~小雨,东南风1级,36 优,
